*  ymin  ymax pTmin pTmax   yav  pTav         cs   stat  uncor   fitm   fitr   nrbk   cobk   bins   trig   trac   vtxq   muid   hdid   angd   brat   lumi   ffrc
* 1st y bin *
    2.5   3.0  10.0  11.0  2.25 10.50    0.14000   7.14   7.69   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0  11.0  13.0  2.25 12.00    0.07500   9.33   8.37   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0  13.0  15.0  2.25 14.00    0.04600  10.87   9.30   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0  15.0  19.0  2.25 17.00    0.01800  11.11  11.52   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0  19.0  40.0  2.25 29.75    0.00190  15.79  10.21   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
* 3rd y bin *
    3.0   3.5   0.0   1.0  2.25  0.50    0.24000  16.67  11.52   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5   1.0   2.0  2.25  1.50    0.67000   8.96  11.16   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5   2.0   3.0  2.25  2.50    0.79000   7.59   9.26   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5   3.0   4.0  2.25  3.50    0.74000   6.76   8.72   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
